img_id,Time_of_Day,Weather_Condition,Road_Environment_Type,Road_Surface_Condition,Traffic_Density,Pedestrian_Presence,Cyclist_Presence,Number_of_Visible_Lanes,Intersection_Type,Lane_Marking_Visibility,Artificial_Lighting_Source,Crosswalk_Presence,Vertical_Road_Profile,Horizontal_Road_Curvature,Infrastructure_Barriers,Building_Density,Vegetation_Level,Traffic_Sign_Presence,Vehicle_Composition,Ego_Vehicle_Lane_Position
25864,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
48564,Night,Clear,Urban,Dry,Low,,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,,Regulatory,Passenger_Cars_Only,Centered
71242,Daylight,Cloudy,Highway,Dry,Moderate,,No,3,,Clear,,No,Flat,Straight,Noise_Wall,Low_Density_Urban,Moderate,Directional,Mixed_Heavy_Traffic,Centered
6444,Daylight,Clear,Urban,Dry,Low,,No,2,T-Junction,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered
65870,Night,Clear,Highway,Dry,Low,,No,4,,Clear,Street_Lights,No,Flat,Straight,Concrete_Median,,Moderate,Directional,Passenger_Cars_Only,Centered
97350,Daylight,Clear,Urban,Dry,Moderate,,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Industrial,Sparse,Multiple_Types,Passenger_Cars_Only,Centered
7672,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Public_Transit_Focus,Centered
37176,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered
58372,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered
62109,Daylight,Clear,Highway,Dry,Low,,No,3,,Clear,,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered
20730,Daylight,Rainy,Urban,Wet,Low,,No,2,Four-Way,Occluded_by_Snow/Water,,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered
41605,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,1,T-Junction,Absent,,No,Flat,Slight_Right,Curb,Low_Density_Urban,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered
7540,Daylight,Cloudy,Residential,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered
35788,Daylight,Rainy,Urban,Wet,Low,On_Sidewalk,No,2,Four-Way,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,,Regulatory,Passenger_Cars_Only,Centered
27073,Daylight,Clear,Highway,Dry,Low,,No,3,,Clear,,No,Flat,Straight,Noise_Wall,Low_Density_Urban,,Directional,Passenger_Cars_Only,Centered
9397,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,T-Junction,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered
49300,Daylight,Cloudy,Rural,Dry,Low,,No,1,T-Junction,Absent,,No,Flat,Slight_Left,Curb,Sparse/Rural,Moderate,,Passenger_Cars_Only,Centered
83575,Daylight,Clear,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered
49156,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Faded,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered
87224,Daylight,Cloudy,Urban,Wet,Low,Near_Roadside,No,2,Four-Way,Occluded_by_Snow/Water,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered
41332,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,1,Four-Way,Absent,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
58752,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,Yes,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered
13921,Daylight,Cloudy,Urban,Dry,Low,,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
36244,Night,Clear,Urban,Dry,Low,,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered
5648,Daylight,Clear,Urban,Dry,Low,Crossing_Road,No,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered
92314,Daylight,Cloudy,Highway,Wet,Low,,No,2,,Clear,,No,Flat,Straight,Metal_Guardrail,Sparse/Rural,Dense_Forest,,Passenger_Cars_Only,Centered
63421,Night,Rainy,Highway,Wet,Low,,No,3,,Clear,Vehicle_Headlights,No,Flat,Straight,Noise_Wall,,Sparse,Directional,Passenger_Cars_Only,Centered
82114,Daylight,Snowy,Rural,Snow_Covered,Low,,No,2,,Occluded_by_Snow/Water,,No,Flat,Straight,,,Dense_Forest,,Passenger_Cars_Only,Centered
6370,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
21931,Daylight,Clear,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered
9998,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,Yes,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Park-like,,Passenger_Cars_Only,Centered
55406,Daylight,Cloudy,Rural,Wet,Low,,No,2,Roundabout,Clear,,No,Flat,Straight,Curb,Sparse/Rural,Moderate,Directional,Passenger_Cars_Only,Centered
11807,Daylight,Clear,Urban,Dry,Moderate,,No,1,Four-Way,Clear,,Yes,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered
16566,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,Yes,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered
13259,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,T-Junction,Clear,,Yes,Uphill,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered
76603,Daylight,Clear,Highway,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Metal_Guardrail,Sparse/Rural,Moderate,,Mixed_Heavy_Traffic,Centered
7908,Daylight,Cloudy,Urban,Dry,Low,Crossing_Road,No,3,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered
24078,Daylight,Cloudy,Urban,Dry,Moderate,,No,3,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered
43830,Daylight,Rainy,Urban,Wet,Low,,No,3,,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered
87769,Night,Clear,Highway,Dry,Low,,No,3,,Clear,Street_Lights,No,Flat,Straight,Metal_Guardrail,,Sparse,Directional,Passenger_Cars_Only,Centered
91913,Daylight,Clear,Urban,Dry,Low,,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
34227,Night,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered
3971,Twilight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Roundabout,Clear,Building_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered
80422,Night,Clear,Highway,Dry,Low,,No,3,,Clear,Vehicle_Headlights,No,Flat,Straight,Metal_Guardrail,,,,Passenger_Cars_Only,Centered
28085,Daylight,Rainy,Urban,Wet,Low,,No,2,,Faded,,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered
70031,Night,Clear,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered
33387,Dawn/Dusk,Cloudy,Urban,Dry,Moderate,,No,1,,Clear,Building_Lights,No,Flat,Straight,Curb,Low_Density_Urban,,,Passenger_Cars_Only,Centered
64340,Night,Rainy,Residential,Wet,Low,,No,2,,Clear,Vehicle_Headlights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered
85424,Night,Rainy,Highway,Wet,Moderate,,No,3,,Clear,Vehicle_Headlights,No,Flat,Straight,Concrete_Median,,,,Mixed_Heavy_Traffic,Centered
10735,Daylight,Cloudy,Residential,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Mixed_Heavy_Traffic,Centered
60485,Daylight,Cloudy,Urban,Wet,Low,,No,2,,Clear,,No,Flat,Slight_Left,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered
5124,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered
24379,Daylight,Rainy,Urban,Wet,Low,,No,2,,Clear,,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
11541,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
24325,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Industrial,Moderate,Directional,Passenger_Cars_Only,Centered
87161,Daylight,Cloudy,Rural,Wet,Empty,,No,2,,Occluded_by_Snow/Water,,No,Flat,Straight,,,Dense_Forest,Regulatory,No_Vehicles,Centered
43924,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,,Passenger_Cars_Only,Centered
44602,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,,Passenger_Cars_Only,Centered
96678,Night,Clear,Highway,Dry,Low,,No,2,,Clear,Vehicle_Headlights,No,Flat,Straight,Metal_Guardrail,,Sparse,,Passenger_Cars_Only,Centered
86579,Daylight,Cloudy,Rural,Snow_Covered,Low,,No,1,,Occluded_by_Snow/Water,,Yes,Flat,Straight,,Sparse/Rural,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered
38645,Dawn/Dusk,Cloudy,Residential,Dry,Empty,,No,2,,Absent,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,No_Vehicles,Centered
41202,Twilight,Cloudy,Urban,Wet,Low,,Yes,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered
77394,Daylight,Cloudy,Highway,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Concrete_Median,,Moderate,,Passenger_Cars_Only,Centered
37492,Night,Clear,Highway,Dry,Empty,,No,4,,Clear,Street_Lights,No,Flat,Straight,Concrete_Median,,Moderate,Directional,No_Vehicles,Centered
11564,Daylight,Rainy,Urban,Wet,Low,On_Sidewalk,No,3,Four-Way,Clear,Street_Lights,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
11125,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Mixed_Heavy_Traffic,Centered
4734,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,1,None,Absent,None,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered
83014,Night,Clear,Urban,Dry,Moderate,None,No,3,Four-Way,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Mixed_Heavy_Traffic,Centered
7010,Daylight,Clear,Urban,Dry,Low,None,No,2,Four-Way,Clear,None,Yes,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
59847,Daylight,Cloudy,Urban,Wet,Moderate,On_Sidewalk,No,3,Four-Way,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
99439,Daylight,Cloudy,Highway,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Metal_Guardrail,None,Dense_Forest,None,Passenger_Cars_Only,Centered
7563,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,None,Passenger_Cars_Only,Centered
98007,Night,Clear,Highway,Dry,Low,None,No,2,None,Clear,Vehicle_Headlights,No,Flat,Straight,Metal_Guardrail,None,None,Directional,Passenger_Cars_Only,Centered
80672,Daylight,Cloudy,Rural,Dry,Empty,None,No,1,None,Absent,None,No,Uphill,Slight_Left,None,Sparse/Rural,Moderate,Warning,No_Vehicles,Centered
18531,Twilight,Rainy,Urban,Wet,Moderate,On_Sidewalk,No,2,Four-Way,Faded,Street_Lights,Yes,Flat,Straight,Curb,High_Rise,None,Multiple_Types,Public_Transit_Focus,Centered
52859,Daylight,Cloudy,Urban,Dry,Moderate,None,No,3,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
18749,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,Four-Way,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered
57167,Night,Clear,Rural,Snow_Covered,Low,None,No,1,Four-Way,Occluded_by_Snow/Water,Street_Lights,No,Flat,Straight,None,None,Sparse,Multiple_Types,Passenger_Cars_Only,Centered
72947,Dawn/Dusk,Cloudy,Rural,Dry,Low,None,No,2,Roundabout,Faded,Street_Lights,No,Flat,Slight_Left,Curb,Sparse/Rural,Sparse,Regulatory,Passenger_Cars_Only,Centered
37172,Night,Clear,Urban,Dry,Low,None,Yes,2,None,Faded,Street_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
86456,Night,Clear,Highway,Dry,Low,None,No,2,None,Clear,Vehicle_Headlights,No,Flat,Straight,Metal_Guardrail,None,Moderate,Directional,Mixed_Heavy_Traffic,Centered
92979,Daylight,Clear,Urban,Dry,Low,None,No,2,T-Junction,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
2852,Daylight,Cloudy,Urban,Dry,Low,Near_Roadside,No,3,Four-Way,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered
75213,Night,Clear,Rural,Snow_Covered,Low,None,No,2,None,Occluded_by_Snow/Water,Street_Lights,No,Flat,Straight,None,Sparse/Rural,Sparse,None,Passenger_Cars_Only,Centered
